id;title;price;promo_price;url
3507431;Набор игровой Hot Wheels Грузовик-автотрек Скоростная автотрасса с хранилищем для машинок GVG37;4 999 ₽;4 454,01 ₽;https://www.detmir.ru/product/index/id/3507431/
3226750;Конструктор LEGO Speed Champions Lamborghini Urus ST-X Lamborghini Huracan Super Trofeo EVO 76899;5 499 ₽;3 879 ₽;https://www.detmir.ru/product/index/id/3226750/
3153393;Автовоз Mobicaro 1:16 инерционный OTB0566957;1 399 ₽;839 ₽;https://www.detmir.ru/product/index/id/3153393/
3153399;Машина Mobicaro 1:16 пожарная инерционная OTB0564716;999 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3153399/
3269264;Машинка Mobicaro 1:12 Эвакуатор инерционная WY831C;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269264/
3269263;Машинка Mobicaro 1:12 Мусоровоз инерционная WY820A;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269263/
3151684;Машинка Hot Wheels Worldwide базовая в ассортименте C4982;249 ₽;167,31 ₽;https://www.detmir.ru/product/index/id/3151684/
2612891;Пожарная машина Battat с краном (свет/звук);5 999 ₽;3 869 ₽;https://www.detmir.ru/product/index/id/2612891/
3226749;Конструктор LEGO Speed Champions Formula E Panasonic Jaguar Racing GEN2 car Jaguar I-Pace eTrophy 76898;3 699 ₽;2 949 ₽;https://www.detmir.ru/product/index/id/3226749/
3226746;Конструктор LEGO Speed Champions Ferrari F8 Tributo 76895;1 799 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3226746/
145312;Машинка-трансформер POLI Robocar Poli Поли 10 см;1 479 ₽;1 286,01 ₽;https://www.detmir.ru/product/index/id/145312/
145332;Машинка-трансформер POLI Robocar Poli Рой 10 см;1 479 ₽;1 286,01 ₽;https://www.detmir.ru/product/index/id/145332/
3153397;Машина Mobicaro 1:16 Мусоровоз инерционная OTG0881451;999 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3153397/
3200861;Набор мини-машинок Rhino Construction Спецтехника 5 шт. 30030;999 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3200861/
3269284;Самолет Mobicaro 1:200 инерционный WY710B;699 ₽;359 ₽;https://www.detmir.ru/product/index/id/3269284/
3269269;Машинка Mobicaro 1:12 Пожарная инерционная WY851A;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269269/
145362;Машинка-трансформер POLI Robocar Poli Эмбер 10 см;1 479 ₽;1 199 ₽;https://www.detmir.ru/product/index/id/145362/
3153395;Машина Mobicaro 1:16 Уборщик инерционная OTB0564720;999 ₽;549 ₽;https://www.detmir.ru/product/index/id/3153395/
2864621;Бетономешалка Mobicaro инерционная со световыми и звуковыми эффектами;599 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2864621/
3269268;Машинка Mobicaro 1:12 Эвакуатор инерционная WY832B;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269268/
3025267;Машинка Mobicaro Автобус инерционная в ассортименте 7115205;499 ₽;259 ₽;https://www.detmir.ru/product/index/id/3025267/
156622;Машинка-трансформер POLI Robocar Poli Хэли 10 см;1 479 ₽;1 285,02 ₽;https://www.detmir.ru/product/index/id/156622/
3507426;Набор Hot Wheels Монстр-трак Автотрек Двойное уничтожение GYC80;2 399 ₽;1 760 ₽;https://www.detmir.ru/product/index/id/3507426/
2864661;Кран Mobicaro инерционный;649 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2864661/
